sentence,highlight,category,subcategory,polarity
"Computers may become more and more advanced, but I do not believe that these tools will ever make human brains redundant.",do not believe that these tools will ever make human brains redundant,APPRECIATION,WORTH,NEG
The human brain is the most powerful computer known to man yet it is small and light.,most powerful,JUDGEMENT,CAPACITY,POS
"It is the control centre of a body, can instruct it to move freely around its surroundings, it is able to interact with other humans and objects.",NONE,NONE,NONE,NONE
"The brain can make decisions, it can communicate.",NONE,JUDGEMENT,CAPACITY,POS
The only function of the brain which computers can rival is the memory.,NONE,NONE,NONE,NONE
Some of the humans brains functions have been taken over by computer like accountancy with the invention of electronic calculators.,have been taken over,JUDGEMENT,CAPACITY,NEG
In fact the whole subject of mathematics has become quicker with the invention of the electronic calculator.,quicker,APPRECIATION,REACTION,POS
but the subject has not changed electronics have only solved a few mathematical puzzles.,NONE,NONE,NONE,NONE
Most of the theories used today were Hypothesised and proved before the invention of the calculator.,NONE,NONE,NONE,NONE
Computers however have almost unimaginable accuracy.,unimaginable accuracy,JUDGEMENT,CAPACITY,POS
Most high precision engineering projects undertaken today use computers and laser technology to make parts accurate to thousandths of a millimeter.,NONE,NONE,NONE,NONE
"The computer is very widley used in the modern day world, but in almost every case it is only an aid to the brain.",it is only an aid to the brain,JUDGEMENT,CAPACITY,NEG
The human still has to tell the computer what to do.,NONE,JUDGEMENT,CAPACITY,NEG
The human is still in charge.,NONE,JUDGEMENT,CAPACITY,POS
The human brain is in no way made redundant by the invention of the computer and I think that it will be a long time before the technology is discovered to make a electronic machine which will compete with the brain to achieve one of its functions never mind all of which the human brain is capable of doing.,in no way made redundant / is capable of doing,JUDGEMENT,CAPACITY,POS
The continual development of computer technology has created a great deal of controversy in modern times.,a great deal of controversy,JUDGEMENT,PROPRIETY,NEG
There are nowadays widespread uses for computers in all parts of society.,widespread uses,APPRECIATION,WORTH,POS
One area which has drawn particular criticism is the computer games industry.,has drawn particular criticism,JUDGEMENT,PROPRIETY,NEG
"Since the early 1980's, when computers such as the Spectrum 48K and the Commodore 64 were introduced into the homes of millions of people, controversy has followed about their effect on children.",controversy,JUDGEMENT,PROPRIETY,NEG
There is a widespread belief among parents that computer games hinder a child's ability to learn.,hinder ,JUDGEMENT,PROPRIETY,NEG
"The development of more sophisticated and technologically advanced computers, such as the Amiga and PC, has served to deepen the ""problem"".","to deepen the ""problem""",APPRECIATION,WORTH,NEG
The growing realism of the games appeal strongly to children.,appeals strongly,APPRECIATION,REACTION,POS
"However, parents feel that children should be broadening their minds by reading books and that the computer games industry is encouraging children not to learn.",is encouraging children not to learn,JUDGEMENT,PROPRIETY,NEG
"Computers have also been blamed for a fall in education standards among primary school children; a belief accentuated by the results of surveys which state that the vast mayority of primary school children are unable to do simple arithmetic in their minds and rely on another computer, the calculator, to help them.",a fall in education standards,JUDGEMENT,CAPACITY,NEG
Another moral dilemma that computers have created is their role in the workplace.,moral dilemma,JUDGEMENT,PROPRIETY,NEG
There are many people who fear that computers will eventually replace man in the workplace.,NONE,APPRECIATION,REACTION,NEG
"The role of computers is already significant in employment areas, such as accountancy, which require a specialist ability to be able to calculate and manipulate numbers.",significant,APPRECIATION,WORTH,POS
These computers have replaced humans and such changes have sparked fears that the level of unemployment could vastly increase as a result.,have sparked fears,APPRECIATION,REACTION,NEG
"As the computers are: more efficient than humans, do not require payment for their work, are less temperamental than humans and will never have a day off because it is ill",more efficient,JUDGEMENT,CAPACITY,POS
it seems mankind is faced with a great problem., is faced with a great problem,APPRECIATION,WORTH,NEG
Another claim made that suggest the human brain could become useless is that computers promote anti-social behaviour.,promote anti-social behaviour,JUDGEMENT,PROPRIETY,NEG
The creation of the World Wide Web and the Internet have created concern that the human race will become unsociable.,usociable,JUDGEMENT,CAPACITY,NEG
"The Internet allows you to correspond with people all over the world and it also contains many other functions to, supposedly, make life easier for us.",make life easier,APPRECIATION,REACTION,POS
The Internet also has another fundamental problem according to many.,fundamental problem,APPRECIATION,WORTH,NEG
"The belief exists that the computer age and its developments, such as the Internet, will remove the challenges from life.",NONE,NONE,NONE,NONE
"The human brain is constantly in need of being challenged to maintain itself; but with the introduction of the Internet, one could conduct their life without ever needing to leave the house which many believe would menace society.",would menace society,APPRECIATION,REACTION,NEG
"However, at the moment, the existence of computers is very much dependent on the existence of humans.",NONE,NONE,NONE,NONE
"No matter how much artificial intelligence a computer may be able to show, it still has to rely on the human brain to programme it and to put it into operation.",NONE,NONE,NONE,NONE
"Although, there are plans to create computers which can programme themselves, (which I, personally, feel is a very dangerous idea) the human brain still very much controls the computer and still the ability to end the existence of computers at any given moment; thankfully, a power computers do not have over humans.",controls,JUDGEMENT,CAPACITY,POS
The computer has been one of the most influential inventions of all time.,one of the most influential,APPRECIATION,WORTH,POS
"Computers now dominate the majority of government business, science and communication, as well as many other areas of human life.",dominate,APPRECIATION,WORTH,POS
"In many ways, it has taken the place of the human brain in performing calculations and thought processes.",NONE,NONE,NONE,NONE
"The most obvious example of this is the calculator, an instrument used by mathmeticians and scientists for making numerical calculations.",NONE,NONE,NONE,NONE
"This has made it no longer necessary for the human to perform calculations and run through equations, and so need not understand the principles behind them any longer.",no longer necessary,APPRECIATION,WORTH,POS
"This, unfortunately, means that the genius scientist is being replaced by the powerful computer and its operator, who needs only to know which buttons to press.",genius scientist / powerful computer,JUDGEMENT,CAPACITY,POS
"This may seem an extreme view, as there is still much in the world of maths and science which a computer cannot calculate, but this may not be the case centuries into the future.",extreme,APPRECIATION,REACTION,NEG
"Computers have been used as a means of keeping records, they have all but superseded handwritten text, (in a few decades people may well be faced with a computer screen and keyboard in their General Studies exam), they are used to transfer money across the globe, even to create artwork and to entertain.",NONE,NONE,NONE,NONE
"Computer generated pictures, including `fractal' pictures, drawn from equations, seem to be more popular than hand printed images from an artist's imagination, and computer games seem to provide more entertainment than any game or activity that takes place in the real, physical world.",more popular,APPRECIATION,WORTH,POS
Virtual reality allows people to have `3-D' entertainment created for them by a computer.,NONE,NONE,NONE,NONE
"Whether or not the computer is taking over from the human brain, it has certainly made the human body all but redundant.",all but redundant,APPRECIATION,WORTH,NEG
"People, businesses or corporations can be contacted at any point around the globe by fax machines, e-mail and the internet, and some people prefer these forms of communication to actually meeting face to face.",NONE,NONE,NONE,NONE
"Money can be transferred instantly without even needing to move the actual money - the physical coinage doesn't matter, it is the computer records that state how much each bank has ownership of.",NONE,NONE,NONE,NONE
"However, the idea that the human brain is no longer useful is not entirely true(!)",,,,
"Computers cannot deal with human beings, have no capacity for coping with anything outside their expected situations, and cannot adapt to new situations using judgement.",NONE,JUDGEMENT,CAPACITY,NEG
"Human beings often act without logic or reason, and only other human beings can cope and deal with that.",often act without logic or reason,JUDGEMENT,CAPACITY,NEG
"Also, computers can break down, and then a human is needed to take control - such as an airline pilot, and there are still certain tasks only a human being can perform, and they are often among the simplest.",NONE,NONE,NONE,NONE
"The invention of the computer has facillated the role of the human brain in many areas; spelling, mathematics, physics, geography.",the inventioon has facilliated,APPRECIATION,WORTH,POS
Such developments have both made the human brain more dependent upon the computer as its increased usage has made various parts of the brain lazy.,more dependent / lazy,JUDGEMENT,TENACITY,NEG
On the other hand the discoveries made by computers have stimulated the human brain to further fields of thought.,have stimulated the human brain,APPRECIATION,WORTH,POS
"However, which has a greater effect on us and why depends much on our circumstances.",NONE,NONE,NONE,NONE
"In the world today children are taught about things which have only come to light as a result of the technological revolution, namely the computer.",NONE,NONE,NONE,NONE
For example the nature of the sun's surface has been made available by computer technology.,has been made available,APPRECIATION,WORTH,POS
"This provides simple additional information not requiring the brain to think much, unless one is able to think around it such as in companion to other planet's surfaces.",not requiring the brain to think much,JUDGEMENT,TENACITY,NEG
"Therefore, the human brain whilst dependent upon its data from the computer is able to establish more lines of thought and expand its capacity.",is able to establish more lines of thought and expand its capacity,JUDGEMENT,CAPACITY,POS
However it is also important that children do not become overreliant upon computers from an early age,important,APPRECIATION,WORTH,POS
"as they will not have the chance to develop their own brain in doing subjects, such as mathematics.",will not have the chance to develop their own brain,JUDGEMENT,TENACITY,NEG
However as more and more children become acquainted with computers their brain becomes lazier in carrying out even the simplest of tasks.,becomes lazier,JUDGEMENT,TENACITY,NEG
"Therefore, the child must be taught to be independent before being introduced to computers by which it may expand its knowledge and understanding.",must be taught to be independent,JUDGEMENT,PROPRIETY,POS
Indeed computers are simply the result of what humans know and thus have instructed the computer to do.,NONE,NONE,NONE,NONE
"They are man-made and thus have been established by our own brain power, and so have been programmed with a similar line of thought.",NONE,NONE,NONE,NONE
"This argument could point to computers as the replacement of human brains yet their development is similar to ours, as we programme them according to the knowledge which we acquire.",NONE,NONE,NONE,NONE
"Therefore, the human brain should be able to understand a computer's programme and line of thought as being similar to its own.",should be able,JUDGEMENT,CAPACITY,POS
"This point of view displays the computer as a substitute for a human brain which, once skilled in its use, is a major problem in its use by many people.",major problem,APPRECIATION,WORTH,NEG
However to those in complex fields such as physics the computer has been able to stimulate the human brain on to further research., has been able to stimulate,APPRECIATION,WORTH,POS
Indeed the interpretation of results on the computer requires the human brain to work quite hard and the option <?of?> an appropriate response requires a human brain that is not redundant.,requires the human brain to work quite hard,APPRECIATION,WORTH,POS
"However, although the human brain may not be redundant it could become programmed like a machine influenced by the computer's programming.",it could become programmed ,JUDGEMENT,NORMALITY,NEG
"Therefore, computers can have an adverse effect on the human brain's greatest facility, its imagination.",adverse effect,APPRECIATION,WORTH,NEG
Whilst the user becomes submerged in the computer and its programming he may well lose his force of imagination.,may well lose his force of imagination,JUDGEMENT,CAPACITY,NEG
"However in response to this one might say that the computer is an invention of the human brain's imagination at a very hight level, and indeed its development.",NONE,NONE,NONE,NONE
"However I believe its use, confined to its programme, loses the element of imagination.",loses the element of imagination,APPRECIATION,REACTION,NEG
"Therefore, I conclude that although the invention and development of the human computer has kept the brain on, full-time, it use has offloaded it, to a certain extent, into redundancy.",has offloaded it into redundancy,APPRECIATION,REACTION,NEG
"Many people argue nowadays that, with the advent of computer technology, our mental arithmetic is poor and we are becoming a nation of couch potatos.",a nation of couch potatos,JUDGEMENT,TENACITY,NEG
"It is true in a way, the development of portable calculating machines (calculators) has meant that we no longer need to be able to work out sums in our heads, but at what cost?",NONE,NONE,NONE,NONE
"In many shops, the cashiers appear to be dumbfounded by the simplest of sums without the aid of their tills.",dumbfounded,JUDGEMENT,CAPACITY,NEG
"In many areas, the skill of human judgement has been replaced by faster, more accurate, computers.","faster, more accurate",APPRECIATION,REACTION,POS
Many people have had their job positions taken over by computers.,taken over,APPRECIATION,REACTION,NEG
Filing cabinets are becoming a thing of the past with computer databases.,NONE,NONE,NONE,NONE
But even such menial tasks as filing are good for us.,good for us,APPRECIATION,REACTION,POS
They encourage organisational skills and tidiness.,encourage,APPRECIATION,WORTH,POS
"When people talk about artificial intelligence (AI), you hear many funny tales from people who are convinced that the computers are coming alive and will eventually rule us.",funny tales,JUDGEMENT,VERACITY,NEG
"When people talk about artificial intelligence (AI), you hear many funny tales from people who are convinced that the computers are coming alive and will eventually rule us.",people who are convinced that the computers are coming alive and will eventually rule us,JUDGEMENT,VERACITY,NEG
These are just the rantings of people who have nothing to do with computers and who do not realise that behind every computer is a programmer.,rantings of people who have nothing to do with computers and who do not realise that behind every computer is a programmer,JUDGEMENT,CAPACITY,NEG
Even `artificial intelligence' needs to be programmed.,NONE,NONE,NONE,NONE
"Human brains still work out how to build the computers, how to program them and, more importantly, how to control them.",NONE,NONE,NONE,NONE
"As for making the human brain redundant computers can help to improve learning skills, they can teach, test and improve our linguistic skills.",improve,APPRECIATION,REACTION,POS
"Reflexes are improved (and this has been scientifically proven) by playing computer games, the very same things that parents say turn their children into `zombies'.",improved,APPRECIATION,REACTION,POS
"Reflexes are improved (and this has been scientifically proven) by playing computer games, the very same things that parents say turn their children into `zombies'.",parents say turn their children into `zombies',JUDGEMENT,CAPACITY,NEG
"We can expand our imagination and convert our ideas into computer simulated models, enabling us to design buildings and road networks.",NONE,NONE,NONE,NONE
"The computer revolution has not made our brains redundant, it has opened up areas of them we never knew existed!",revolution /  opened up areas,APPRECIATION,WORTH,POS
It is now the age of the computer.,age,APPRECIATION,WORTH,POS
Almost everyone owns a computer or has access to one.,NONE,NONE,NONE,NONE
Computers nowadays are a far cry from the one's in the past which filled whole rooms.,a far cry,APPRECIATION,COMPOSITION,POS
They are able to generate amazingly accurate graphical representations and perform extremely difficult mathematical equations in just seconds.,are able,APPRECIATION,WORTH,POS
Computers have become a huge part of our lives in both the areas of work and education.,huge part,APPRECIATION,WORTH,POS
But are they such a good thing?,NONE,NONE,NONE,NONE
When calculators came along a drop in ability of students for mental arithmetic was obvious and now they are used for the simplest calculations.,a drop in ability,JUDGEMENT,CAPACITY,NEG
The computer could do the same thing.,could do the same thing,APPRECIATION,REACTION,POS
"Computers encourage laziness in the general public, why work out something yourself when the computer can do it for you.",laziness in the general public,JUDGEMENT,TENACITY,NEG
This is very time saving and efficient but it is causing people to forget basic ideas.,very time saving and efficient,APPRECIATION,WORTH,POS
"For instance, spelling is no longer as important as it was you can simply use a ""spellcheck"" to correct your English, which is absurd.",absurd,APPRECIATION,REACTION,NEG
For the youth of today computers offer links around the world and millions of facts and figures.,NONE,NONE,NONE,NONE
This could be argued to be educational.,could be argued to be educational,APPRECIATION,REACTION,POS
"However, this is killing the imagination of children and they spend hours sat at a keyboard tapping away in the doom and gloom of the house.",killing the imagination,JUDGEMENT,PROPRIETY,NEG
"However, this is killing the imagination of children and they spend hours sat at a keyboard tapping away in the doom and gloom of the house.",spend hours sat at a keyboard tapping away in the doom and gloom of the house,JUDGEMENT,TENACITY,NEG
They should be out enjoying themselves and gaining experiences for themselves instead of reading about them on a flat screen.,They should be out enjoying themselves and gaining experiences for themselves instead of reading about them on a flat screen.,JUDGEMENT,PROPRIETY,NEG
It is said that you can meet people through computers and have `relationships'.,NONE,NONE,NONE,NONE
I find this preposterous and people are losing the ability to communicate and form relationships.,preposterous,JUDGEMENT,NORMALITY,NEG
I find this preposterous and people are losing the ability to communicate and form relationships.,people are losing the ability to communicate and form relationships,JUDGEMENT,CAPACITY,NEG
Computers can offer escape from the hum-drum routine of daily life by means of games but they are mind-numbing and uninventive.,mind-numbing and uninventive,APPRECIATION,REACTION,NEG
"There is however a more dangerous threat from computers, it is that they can do the work for man.",more dangerous threat,APPRECIATION,WORTH,NEG
This could lead to high unemployment.,NONE,NONE,NONE,NONE
Those people who work with computers for long periods of time every day face problems.,NONE,NONE,NONE,NONE
The repetion of tapping keys all day and staring at the screen can be harmful and not only that it is highly boring to do the same thing over and over again.,harmful,APPRECIATION,WORTH,NEG
The repetion of tapping keys all day and staring at the screen can be harmful and not only that it is highly boring to do the same thing over and over again.,highly boring,APPRECIATION,REACTION,NEG
Computers may be the future but what part will man have in this future.,what part will man have in this future,JUDGEMENT,PROPRIETY,NEG
"There will be no need for people to go to school as they could be taught at home, people would hardly ever talk and the only career available would be for computer programmers.",NONE,NONE,NONE,NONE
I agree that computers are helpful but people should not live through their computers and be so reliant on them.,helpful,APPRECIATION,WORTH,POS
I agree that computers are helpful but people should not live through their computers and be so reliant on them.,so reliant on them,JUDGEMENT,TENACITY,NEG
They should read books and live more in order to regain their lost imagination and sense of adventure.,lost imagination,JUDGEMENT,CAPACITY,NEG
"Also, in schools I feel that work should be done mainly by hand and calculators and computers should only be used minimally in mathematics in order to stop the production of computer addicts and again have normal people.",stop the production of computer addicts,JUDGEMENT,NORMALITY,NEG
"A vision of the future of many people if the world run by the cybory, Hollywood has used it extensivly.",NONE,NONE,NONE,NONE
"However, will the world ever come to this?",NONE,NONE,NONE,NONE
"Since the invention of the first calacutator technology has had a ever increasing role not only in our lives, but in our learning.",ever increasing role,APPRECIATION,WORTH,POS
"Many people fear that the children of today, math sudents especially are turning into `button pushers', and question the morrality of this.. some school have even banded the use of calculators.",turning into 'button pushers',JUDGEMENT,CAPACITY,NEG
"Since its conception, the computors brief has been the make the work of man easyer, no to do if for him.",no to do if for him,JUDGEMENT,TENACITY,NEG
"There is one fundamental element that computers have not yet aquired to do the job of a human brain, they are stil uncreatative and have no learning capacity and they cannot, as yet, have understanding and selfawarness.",uncreatative and have no learning capacity / cannot have understanding and selfawarness,JUDGEMENT,CAPACITY,NEG
"The back bone to a computor is its program, it can not break this program, it is for this reason that many people such as Roger Penrose, (Oxford Physic Profressor) thinks that computors can never take the place of man.",NONE,NONE,NONE,NONE
A computor can never break progaming it will always follow it to pression.,NONE,NONE,NONE,NONE
That is why it may never aquire learning power in the true sense or creativity or awareness.,may never aquire learning power or creativity or awareness.,JUDGEMENT,CAPACITY,NEG
So if we assume that the computor will only ever really be machanical in there operation and `thinking' then they will only ever do the donkey work for example calculators in schools; ,donkey work,JUDGEMENT,TENACITY,NEG
"And even if they do the metal arithmatic for the children Thus the children losing the ability to do it for themselves, it this morrally wronge, afterall it is a progression, they will never need that skill again.",morally wrong,JUDGEMENT,PROPRIETY,NEG
"However with the capabilities of computer growing exponentally then it maybe possible for computors to, one day, replace part of the brain,",capabilities growing exponentally,APPRECIATION,REACTION,POS
 thus making the brain compleatly redundant.,compleatly redundant,JUDGEMENT,CAPACITY,NEG
"In analysing how far the invention of the computer has made the human brain redundant, we must remember that changes in the demand for computers has certainly not been universal.",has certainly not been universal,APPRECIATION,WORTH,NEG
"While ""Western"" developed countries have begun popularising the computer, developing countries have very much been left in the dark as their education levels and culture do not allow for mass computer demand.", left in the dark,JUDGEMENT,PROPRIETY,NEG
The invention of the computer meant that industry could benefit from the further technological inventions that followed.,could benefit,APPRECIATION,WORTH,POS
"Robotic production of cars, for example, allowed many firms to increase their efficiency and productivity.",allowed to increase efficiency and productivity,APPRECIATION,WORTH,POS
"On the other hand, the advent of computer usage in the home could be argued to increase educational levels.",increase educational levels,APPRECIATION,WORTH,POS
"As supply in computers through changing technology arrived, so demand was to gradually increase in the long term, both for the individual and for the firm.",NONE,NONE,NONE,NONE
This long term change in demand can be charted to see if it has lead to a drastic fall in the usage of the human brain.,a drastic fall in the usage of the human brain,JUDGEMENT,TENACITY,NONE
"As I have said, changing technology has allowed factories to use robots for production.",NONE,NONE,NONE,NONE
"It has also created the internet, a global forum linking every part of the world up so that information can be passed on more easily.","It has also created the internet, a global forum linking every part of the world up so that information can be passed on more easily.",APPRECIATION,WORTH,POS
"Similarly, the computer has also brought society video games, in the form of companies such as Sega and Nintendo.",brought society video games,APPRECIATION,WORTH,POS
"We must ask if such video games are detrimental to the youth of the world and also its population, or whether they relieve stress and form part of modern life.",detrimental,APPRECIATION,WORTH,NEG
"They do utilise the brain, testing reaction times and lateral thinking skill, but is this escapism a good or a bad thing?",NONE,NONE,NONE,NONE
There is certainly a change in attitudes in society.,NONE,NONE,NONE,NONE
"Secondly, educational levels in the developed world have also changed drastically wih the technological revolution of the computer.",revolution,APPRECIATION,WORTH,POS
"On the one hand, clearly this has lead to a decrease in primary and secondary labour sectors.",NONE,NONE,NONE,NONE
"That is, in agriculture and more importantly in manufacturing.",NONE,NONE,NONE,NONE
Robots replace people and computers mean that only one supervisor - or head of technology - is needed on a factory production line.,NONE,NONE,NONE,NONE
"Yet amongst the job losses through this, in the UK students in sixth form wishing to go on to university are nearing the highest level they've ever been.",the highest level,APPRECIATION,REACTION,POS
"Computerised administration systems aid this, and while at university computers are used heavily in all subjects as an educational aid.",aid,APPRECIATION,WORTH,POS
CD-ROMS are used for media students to scan thematic types of stories from all newspapers; computer science students study the forefront of computer technology in programming to further British industry productivity and creativity.,study to further British industry productivity and creativity,JUDGEMENT,TENACITY,POS
"It seems that education - the use of the human brain to learn facts, ideas and images as well as concepts - has if anything increased.",education has increased,APPRECIATION,REACTION,POS
"At the same time, workers have suffered huge job losses as their contribution to the production process is no longer required.",huge job losses,APPRECIATION,WORTH,NEG
"Also, moral questions are asked of the youth while crime rises and video game usage appears to be at its highest.",crime rises,JUDGEMENT,PROPRIETY,NEG
It would be unintelligent to blame these factors at the development of computers.,unintelligent,JUDGEMENT,CAPACITY,NEG
These are in fact external factors besides the invention of the computer which have heavily contributed to the factors I have mentioned.,heavily contributed,APPRECIATION,WORTH,NEG
"For instance, surely the large rises in population and level of economic uncertainty - especially in the UK but also developed countries in general - must have compelled many students to increase their educational level by going to university.",compelled many students to increase their educational level,JUDGEMENT,TENACITY,POS
"The human brain has been affected by creating a highly job-motivated society which recognise utilisation, not redundancy of the human brain is the way to get a job.",highly job-motivated,JUDGEMENT,TENACITY,POS
Economic uncertainty in developed countries - ie western countries - has been severely hampered by deindustrialisation.,severely hampered,APPRECIATION,WORTH,NEG
"While firms in the manufacturing sector previously colluded to keep prices high, this means there was not enough investment in new technology.",NONE,NONE,NONE,NONE
"Combined with developing countries having cheaper costs, such as much cheaper land and labour, this means that industry has moved away to countries such as Korea, China and Indonesia, where workers are paid pittence wages of around 16 pence a day.",NONE,NONE,NONE,NONE
"Changing attitudes in the media have meant that through television, many have accepted the invention of the computer.",NONE,NONE,NONE,NONE
Fox hunting is a 'bloodsport' and in my opinion all 'bloodsports' should be banned.,bloodsport,JUDGEMENT,PROPRIETY,NEG
"Examples of 'bloodsports' are stag hunting, bullfighting, pheasant shooting and even fishing.",bloodsports,JUDGEMENT,PROPRIETY,NEG
Fox hunting is immoral and unnecessary.,immoral and unnecessary,JUDGEMENT,PROPRIETY,NEG
"The uniform of a fox hunter usually consists of a scarlet jacket, white 'jogpets', white shirt, black tie and polished black riding boots.",NONE,NONE,NONE,NONE
From a distance this would seem to be the uniform of some kind of a gentleman.,gentleman,JUDGEMENT,PROPRIETY,POS
The fox hunt is a lengthy and extreemly cruel process.,extreemly cruel,JUDGEMENT,PROPRIETY,NEG
The riders all gather together in what is called 'the meet'.,NONE,NONE,NONE,NONE
This can last anywhere from 20 minutes up to 90 minutes and basically this is where all the riders admire each other's uniforms and wait for the dogs to pick up a scent.,NONE,NONE,NONE,NONE
When the dogs finally find a scent the hunt begins.,NONE,NONE,NONE,NONE
"The dogs take the lead, once again there can be a number of anywhere between 20 and 100 dogs.",NONE,NONE,NONE,NONE
The riders follow on.,NONE,NONE,NONE,NONE
If we can possibly imagine what this poor fox is going through as it 'runs for its life' literally.,poor / runs for its life,APPRECIATION,REACTION,NEG
"If the fox happens to stray from the woodlands onto other farmers' property, across roads and fields - the dogs follow.",NONE,NONE,NONE,NONE
"This can cause immense damage to the countryside in the form of knocked-down walls, gates, trampled hedges and huge 'hoof' marks throughout the area.",immense damage,APPRECIATION,REACTION,NEG
"When the dogs finally catch up with the fox, it is literally ripped to pieces, limb from limb.",ripped to pieces,JUDGEMENT,PROPRIETY,NEG
"The riders rarely actually get to see the fox, once it has been caught.",NONE,NONE,NONE,NONE
"However, on the other side of the argument the farmers say foxes are a pest and have to be controlled some way or another.",pest,APPRECIATION,REACTION,NEG
"The foxes kill sheep, hens and scare animals and so the farmers feel they have every right to kill these pests.",feel they have every right to kill these pests,JUDGEMENT,PROPRIETY,NEG
The farmers also say the 'hunt' is very exciting and is a major part of their lives.,NONE,NONE,NONE,NONE
The 'thrill of the chase' has no substitutes.,NONE,NONE,NONE,NONE
Now that we have seen both sides to this argument solutions should be discussed.,NONE,NONE,NONE,NONE
"For example, foxes could be controlled in some other way, an example could be a shotgun.",NONE,NONE,NONE,NONE
A bullet to the head is a much more  moral way to kill this animal than to literally rip it to shreads.,much more moral,JUDGEMENT,PROPRIETY,POS
The farmers will then complain that they have nothing to do on a Sunday.,complain,JUDGEMENT,PROPRIETY,NEG
This is where 'drag hunting' becomes involved.,NONE,NONE,NONE,NONE
This is very similar to a fox hunt but without the negative aspects.,without the negative aspects,JUDGEMENT,PROPRIETY,POS
This hunt comprises of a scent being laid the day before and a piece of meat being hidden some distance away; The dogs will pick up the scent and chase it until they find the meat.,NONE,NONE,NONE,NONE
"So this method meets all the requirements the farmers insist on, for example, the thrill of the chase, something to do on a Sunday and a use for all these dogs.",NONE,NONE,NONE,NONE
"In conclusion, personally I am against the present method of controlling foxes and do not see why these perfectly comparable alternatives can not be used instead.",NONE,NONE,NONE,NONE
There have been many demonstrations by activists when fox hunting is taking place and although I do not agree with some of the animal activists methods I am in this case of the strong opinion that fox hunting should be banned in the United Kingdom.,should be banned,JUDGEMENT,PROPRIETY,NEG
My reasons for this are as follows.,NONE,NONE,NONE,NONE
Fox hunting in my eyes is a brutal sport carried out by the higher classes in society.,brutal,JUDGEMENT,PROPRIETY,NEG
It is regarded by many people as being traditional and indeed the practice of fox hunting has been carried out for many years.,,,,
However I regard fox hunting as a pointless and futile sport.,pointless and futile,APPRECIATION,WORTH,NEG
In many ways it is looked upon as a blood sport.,blood sport,JUDGEMENT,PROPRIETY,NEG
"Once, the sport may have be necessary to cull the numbers of foxes but now foxes have become so rare that they are rarely seen in the wild.",NONE,NONE,NONE,NONE
Foxes are simply hunted for fun and for trohpy's.,hunted for fun and for trophy's,JUDGEMENT,PROPRIETY,NEG
They are not hunted out of necessity for food.,They are not hunted out of necessity for food.,JUDGEMENT,PROPRIETY,NEG
Most farmers regard foxes as pests and occasionaly foxes do cause problems on farms by killing chickens or other farm birds.,pests,APPRECIATION,REACTION,NEG
However this is their nature.,nature,JUDGEMENT,NORMALITY,POS
They must eat to survive and to feed their young and it is only rarely that foxes sieze the opportunity to steal chickens from farms.,only rarely steal,APPRECIATION,REACTION,POS
Due to this many farmers give permission for fox hunting to take place on their land.,NONE,NONE,NONE,NONE
Although foxes may harm farm animals this is only an instinct for survival.,only an instinct for survival,JUDGEMENT,NORMALITY,POS
There seems to be no point in my eyes in killing a timid and rare animal.,no point,APPRECIATION,WORTH,NEG
Their furs were widely sought after for the making of fur coats but now public opinion has put this to an end.,NONE,NONE,NONE,NONE
I regard fox hunting as a pointless sport.,pointless,APPRECIATION,WORTH,NEG
There is a lot of pomp and tradition involved and dressing up.,pomp and tradition,APPRECIATION,REACTION,NEG
As well as the pointlessness of fox hunting it is too brutal on the now endangered wild fox population.,too brutal,JUDGEMENT,PROPRIETY,NEG
The foxes are not really given a chance.,NONE,NONE,NONE,NONE
Once one is spotted by the hunting party a pack of hounds is sent after it.,NONE,NONE,NONE,NONE
All the fox can do is flee in desparation.,NONE,NONE,NONE,NONE
It does not really stand a chance against the overwhelming odds of about twenty blood thirsty hounds.,does not really stand a chance,JUDGEMENT,CAPACITY,NEG
"Occasionaly foxes to manage to escape or hide but in most cases when a fox is spotted once the dogs reach it, it will be torn to pieces.",torn to pieces,JUDGEMENT,PROPRIETY,NEG
It is an awful way to die and there is no reason for it accept for that of sport and tradition.,no reason,APPRECIATION,WORTH,NEG
"As far as I am concerned fox hunting has become a pointless and outdated sport, yet it still has many followers and in parts of the country hunts do continue.",pointless / outdated,APPRECIATION,WORTH,NEG
"Huntsmen will say that they are ridding the countryside of a verminous creature which is looked upon as a savage animal, yet I regard them as beautiful animals that are a part of the countryside fauna.",a part of the countryside fauna,APPRECIATION,WORTH,POS
I dont think that they should be treated in such a way and hope that the government will see the light and pass a law banning this futile blood sport once and for all.,treated in such a way,JUDGEMENT,PROPRIETY,NEG
An issue which is becoming increasingly debated is whether or not fox hunting should be banned.,NONE,NONE,NONE,NONE
"In today's society it is an outdated and barbaric ""sport"" which, in my opinion, should be banned.",barbaric,JUDGEMENT,PROPRIETY,NEG
In this country animal rights have been debated in parliment and many measures have been implemented to safeguard animals welfare.,NONE,NONE,NONE,NONE
"Recently the British government have brought in legislation with respect to how animals, which are going to be slaughtered, should be transported.",NONE,NONE,NONE,NONE
"These measures include the time the animals spend on the road, how much room they have etc.",NONE,NONE,NONE,NONE
However it is still perfectly legal for a group of people to chase a fox with a pack of dogs and watch them chase the fox until it is exhausted and then get torn apart by the dogs.,still perfectly legal,JUDGEMENT,PROPRIETY,NEG
"This, apparantly, is a sport.","This, apparantly, is a sport.",JUDGEMENT,PROPRIETY,NEG
